SKU_Number,SKU_Current_Price,TimeStamp
"39","0.01","2023-11-14 07:04:08"
"933","1.00","2023-11-14 07:04:09"
"10014","435.90","2023-11-14 07:04:09"
"10015","491.00","2023-11-14 07:04:10"
"10028","198.00","2023-11-14 07:04:11"
"10029","37.00","2023-11-14 07:04:12"
"10032","213.00","2023-11-14 07:04:13"
"10033","48.75","2023-11-14 07:04:13"
"10034","32.25","2023-11-14 07:04:14"
"10039","8.55","2023-11-14 07:04:15"
"10044","65.00","2023-11-14 07:04:16"
"10045","64.75","2023-11-14 07:04:16"
"10050","32.45","2023-11-14 07:04:18"
"10051","567.80","2023-11-14 07:04:18"
"10055","6.50","2023-11-14 07:04:19"
"10060","79.00","2023-11-14 07:04:20"
"10061","56.25","2023-11-14 07:04:21"
"10062","150.35","2023-11-14 07:04:21"
"10064","131.00","2023-11-14 07:04:22"
"10066","145.00","2023-11-14 07:04:23"
"10067","338.00","2023-11-14 07:04:24"
"10068","195.00","2023-11-14 07:04:24"
"10069","48.50","2023-11-14 07:04:25"
"10070","421.00","2023-11-14 07:04:26"
"10071","19.50","2023-11-14 07:04:27"
"10074","24.40","2023-11-14 07:04:27"
"10075","22.25","2023-11-14 07:04:28"
"10076","31.00","2023-11-14 07:04:29"
"10077","28.00","2023-11-14 07:04:30"
"10078","7.85","2023-11-14 07:04:30"
"10088","284.30","2023-11-14 07:04:31"
"10089","300.00","2023-11-14 07:04:32"
"10090","11.70","2023-11-14 07:04:33"
"10115","31.25","2023-11-14 07:04:33"
"10116","52.25","2023-11-14 07:04:34"
"10131","748.90","2023-11-14 07:04:35"
"10137","74.25","2023-11-14 07:04:37"
"10146","37.70","2023-11-14 07:04:37"
"10170","350.40","2023-11-14 07:04:38"
"10171","552.15","2023-11-14 07:04:39"
"10176","501.65","2023-11-14 07:04:40"
"10186","96.00","2023-11-14 07:04:40"
"10200","7.50","2023-11-14 07:04:41"
"10203","20.25","2023-11-14 07:04:42"
"10204","114.50","2023-11-14 07:04:43"
"10215","10.75","2023-11-14 07:04:43"
"10219","6.25","2023-11-14 07:04:44"
"10221","89.00","2023-11-14 07:04:45"
"10222","56.50","2023-11-14 07:04:46"
"10223","81.50","2023-11-14 07:04:46"
"10226","94.40","2023-11-14 07:04:47"
"10227","8.45","2023-11-14 07:04:48"
"10229","100.00","2023-11-14 07:04:49"
"10230","280.95","2023-11-14 07:04:50"
"10251","1,250.00","2023-11-14 07:04:50"
"10252","1,250.00","2023-11-14 07:04:51"
"10253","436.75","2023-11-14 07:04:52"
"10277","12.63","2023-11-14 07:04:53"
"10282","65.30","2023-11-14 07:04:53"
"10285","44.20","2023-11-14 07:04:54"
"10292","22.25","2023-11-14 07:04:55"
"10293","22.25","2023-11-14 07:04:56"
"10295","34.00","2023-11-14 07:04:56"
"10304","43.00","2023-11-14 07:04:57"
"10305","37.00","2023-11-14 07:04:58"
"10309","76.00","2023-11-14 07:04:59"
"10317","41.05","2023-11-14 07:04:59"
"10320","47.00","2023-11-14 07:05:00"
"10321","47.00","2023-11-14 07:05:01"
"10327","46.00","2023-11-14 07:05:02"
"10330","54.25","2023-11-14 07:05:02"
"10331","73.25","2023-11-14 07:05:03"
"10333","46.00","2023-11-14 07:05:04"
"10334","74.00","2023-11-14 07:05:05"
"10335","99.50","2023-11-14 07:05:06"
"10339","91.00","2023-11-14 07:05:07"
"10340","60.00","2023-11-14 07:05:07"
"10341","60.00","2023-11-14 07:05:08"
"10353","74.00","2023-11-14 07:05:09"
"10354","99.50","2023-11-14 07:05:10"
"10373","9.75","2023-11-14 07:05:11"
"10377","248.50","2023-11-14 07:05:11"
"10379","137.00","2023-11-14 07:05:12"
"10384","54.75","2023-11-14 07:05:13"
"10385","87.75","2023-11-14 07:05:14"
"10391","11.00","2023-11-14 07:05:14"
"10394","17.75","2023-11-14 07:05:15"
"10400","18.30","2023-11-14 07:05:16"
"10402","6.85","2023-11-14 07:05:17"
"10403","93.00","2023-11-14 07:05:17"
"10404","7.00","2023-11-14 07:05:18"
"10409","150.25","2023-11-14 07:05:19"
"10410","79.75","2023-11-14 07:05:20"
"10411","2.75","2023-11-14 07:05:21"
"10414","93.00","2023-11-14 07:05:21"
"10415","3.10","2023-11-14 07:05:22"
"10421","315.00","2023-11-14 07:05:23"
"10422","734.00","2023-11-14 07:05:24"
"10425","270.00","2023-11-14 07:05:24"
"10427","146.00","2023-11-14 07:05:25"
